Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
9/02/2016;VALLE;CAUCA SALVAJINA;25.440;606,200.000;0.1746974063
9/02/2016;VALLE;DIGUA;14.670;187,300.000;0.6458620690
9/02/2016;VALLE;FLORIDA II;8.120;162,400.000;1.0826666670
10/02/2016;ANTIOQUIA;A. SAN LORENZO;10.487;2,395,100.000;0.4696274510
10/02/2016;ANTIOQUIA;CONCEPCION;1.966;537,400.000;0.4133846154
10/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.641;995,200.000;0.5237894737
10/02/2016;ANTIOQUIA;DESV. MANSO;0.000;;
10/02/2016;ANTIOQUIA;GRANDE;8.115;2,545,200.000;0.3721052632
10/02/2016;ANTIOQUIA;GUADALUPE;12.423;3,395,700.000;0.9729799427
10/02/2016;ANTIOQUIA;GUATAPE;12.353;2,084,200.000;0.5838095238
10/02/2016;ANTIOQUIA;MIEL I;27.241;1,313,600.000;0.3284000000
10/02/2016;ANTIOQUIA;NARE;11.917;4,204,600.000;0.3609098712
10/02/2016;ANTIOQUIA;PORCE II;37.235;4,740,000.000;0.7149321267
10/02/2016;ANTIOQUIA;PORCE III;7.197;531,000.000;0.4248000000
10/02/2016;ANTIOQUIA;SAN CARLOS;9.773;1,282,900.000;0.6350990099
10/02/2016;ANTIOQUIA;TENCHE;3.376;922,800.000;1.1535000000
10/02/2016;CARIBE;SINU URRA;105.570;1,134,600.000;0.8467164179
10/02/2016;CENTRO;AMOYA;11.081;1,292,700.000;0.7930674847
10/02/2016;CENTRO;BETANIA CP;53.450;800,000.000;0.3686635945
10/02/2016;CENTRO;BOGOTA N.R.;0.000;;
10/02/2016;CENTRO;EL QUIMBO;161.720;6,582,300.000;1.0448095240
10/02/2016;CENTRO;PRADO;5.450;64,300.000;0.1020634921
10/02/2016;CENTRO;SOGAMOSO;106.840;3,345,500.000;0.5301901743
10/02/2016;ORIENTE;BATA;8.800;1,481,000.000;0.6196652720
10/02/2016;ORIENTE;CHUZA;2.080;827,300.000;0.6083088235
10/02/2016;ORIENTE;GUAVIO;20.740;4,849,800.000;1.0589082970
10/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;3,053,800.000;0.5338811189
10/02/2016;VALLE;ALTOANCHICAYA;12.470;1,328,100.000;0.3231386861
10/02/2016;VALLE;CALIMA;1.360;61,100.000;0.1420930233
10/02/2016;VALLE;CAUCA SALVAJINA;27.240;649,100.000;0.1870605187
10/02/2016;VALLE;DIGUA;16.810;214,700.000;0.7403448276
10/02/2016;VALLE;FLORIDA II;6.200;124,000.000;0.8266666667
11/02/2016;ANTIOQUIA;A. SAN LORENZO;16.270;3,715,800.000;0.7285882353
11/02/2016;ANTIOQUIA;CONCEPCION;2.057;562,300.000;0.4325384615
11/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.625;990,900.000;0.5215263158
11/02/2016;ANTIOQUIA;DESV. MANSO;1.083;52,200.000;0.1044000000
